symbol,status,display_label,signal,previous_signal,signal_date,sector,industry,trend,momentum,optionable,reason
A,LEADER,🚀 LEADER,BUY,BUY,"Jul 27, 2026",Health Care,Diagnostics & Research,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AA,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Materials,Aluminum,NEUTRAL,MOVING DOWN,,No active BUY transition
AAL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 12, 2026",Industrials,Airlines,DOWNTREND,MOVING DOWN,,No active BUY transition
AAOI,REMOVED,❌ REMOVED,SELL,BUY,"Aug 25, 2026",Information Technology,Communication Equipment,NEUTRAL,MOVING DOWN,,Prior BUY is missing or no longer rated BUY
AAP,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 12, 2026",Consumer Discretionary,Auto Parts,DOWNTREND,MOVING DOWN,,No active BUY transition
AAPL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 04, 2026",Information Technology,Consumer Electronics,NEUTRAL,MOVING DOWN,,No active BUY transition
ABBV,LEADER,🚀 LEADER,BUY,BUY,"Aug 19, 2026",Health Care,Drug Manufacturers - General,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ABNB,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 19, 2026",Consumer Discretionary,Travel Services,UPTREND,MOVING DOWN,,No active BUY transition
ABT,LEADER,🚀 LEADER,BUY,BUY,"Jul 17, 2026",Health Care,Medical Devices,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ACAD,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 07, 2026",Health Care,Biotechnology,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
ACGL,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 23, 2026",Financials,Insurance - Diversified,NEUTRAL,MOVING DOWN,,No active BUY transition
ACHC,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 28, 2026",Health Care,Medical Care Facilities,DOWNTREND,MOVING DOWN,,No active BUY transition
ACI,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 22, 2026",Consumer Staples,Grocery Stores,DOWNTREND,MOVING DOWN,,No active BUY transition
ACIW,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 23, 2026",Information Technology,Software - Infrastructure,DOWNTREND,MOVING DOWN,,No active BUY transition
ACM,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 13, 2026",Industrials,Engineering & Construction,DOWNTREND,MOVING DOWN,,No active BUY transition
ACMR,UNCHANGED,UNCHANGED,SELL,,"Jul 07, 2026",Information Technology,Semiconductor Equipment & Materials,DOWNTREND,MOVING DOWN,,No active BUY transition
ACN,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Information Technology,Information Technology Services,UPTREND,MOVING DOWN,,No active BUY transition
ADBE,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 18, 2026",Information Technology,Software - Application,UPTREND,MOVING DOWN,,No active BUY transition
ADC,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 31, 2026",Real Estate,REIT - Retail,DOWNTREND,MOVING DOWN,,No active BUY transition
ADEA,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 24, 2026",Information Technology,Software - Application,DOWNTREND,MOVING DOWN,,No active BUY transition
ADI,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 21, 2026",Information Technology,Semiconductors,DOWNTREND,MOVING UP,,No active BUY transition
ADM,REMOVED,❌ REMOVED,SELL,BUY,"Aug 25, 2026",Consumer Staples,Farm Products,DOWNTREND,MOVING DOWN,,Prior BUY is missing or no longer rated BUY
ADP,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 13, 2026",Information Technology,Software - Application,UPTREND,MOVING DOWN,,No active BUY transition
ADPT,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 17, 2026",Health Care,Diagnostics & Research,UPTREND,MOVING UP,,No active BUY transition
ADSK,LEADER,🚀 LEADER,BUY,BUY,"Jul 17, 2026",Information Technology,Software - Application,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AEE,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 14, 2026",Utilities,Utilities - Regulated Electric,DOWNTREND,MOVING DOWN,,No active BUY transition
AEHR,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 05, 2026",Information Technology,Semiconductor Equipment & Materials,NEUTRAL,MOVING DOWN,,Existing BUY momentum is weakening
AEM,LEADER,🚀 LEADER,BUY,BUY,"Aug 06, 2026",Materials,Gold,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AEO,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 13, 2026",Consumer Discretionary,Apparel Retail,DOWNTREND,MOVING DOWN,,No active BUY transition
AEP,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 14, 2026",Utilities,Utilities - Regulated Electric,DOWNTREND,MOVING DOWN,,No active BUY transition
AER,UNCHANGED,UNCHANGED,SELL,,"Aug 13, 2026",Industrials,Rental & Leasing Services,DOWNTREND,MOVING DOWN,,No active BUY transition
AES,LEADER,🚀 LEADER,BUY,BUY,"Aug 24, 2026",Utilities,Utilities - Diversified,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AESI,UNCHANGED,UNCHANGED,,,,Energy,Oil & Gas Equipment & Services,DOWNTREND,,,No active BUY transition
AEVA,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 18, 2026",Information Technology,Software - Infrastructure,DOWNTREND,MOVING DOWN,,No active BUY transition
AFL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 06, 2026",Financials,Insurance - Life,DOWNTREND,MOVING DOWN,,No active BUY transition
AFRM,EMERGING,🔥 EMERGING,BUY,SELL,"Aug 25, 2026",Financials,Credit Services,UPTREND,MOVING UP,,New BUY with rising trend and accelerating momentum
AG,LEADER,🚀 LEADER,BUY,BUY,"Aug 10, 2026",Materials,Silver,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AGI,LEADER,🚀 LEADER,BUY,BUY,"Aug 10, 2026",Materials,Gold,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AGIO,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 15, 2026",Health Care,Biotechnology,DOWNTREND,MOVING UP,,No active BUY transition
AGNC,LEADER,🚀 LEADER,BUY,BUY,"Aug 14, 2026",Real Estate,REIT - Mortgage,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AHR,UNCHANGED,UNCHANGED,,,,Real Estate,REIT - Healthcare Facilities,UPTREND,,,No active BUY transition
AI,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 17, 2026",Information Technology,Software - Infrastructure,UPTREND,MOVING DOWN,,No active BUY transition
AIG,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 24, 2026",Financials,Insurance - Diversified,DOWNTREND,MOVING DOWN,,No active BUY transition
AJG,LEADER,🚀 LEADER,BUY,BUY,"Aug 24, 2026",Financials,Insurance Brokers,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AKAM,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Information Technology,Software - Infrastructure,DOWNTREND,MOVING DOWN,,No active BUY transition
AKR,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 06, 2026",Real Estate,REIT - Retail,DOWNTREND,MOVING DOWN,,No active BUY transition
ALAB,UNCHANGED,UNCHANGED,,,,Information Technology,Semiconductors,DOWNTREND,,,No active BUY transition
ALB,LEADER,🚀 LEADER,BUY,BUY,"Aug 12, 2026",Materials,Specialty Chemicals,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ALC,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 24, 2026",Health Care,Medical Instruments & Supplies,UPTREND,MOVING DOWN,,No active BUY transition
ALGM,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 07, 2026",Information Technology,Semiconductors,DOWNTREND,MOVING DOWN,,No active BUY transition
ALH,UNCHANGED,UNCHANGED,,,,Consumer Discretionary,Furnishings Fixtures & Appliances,DOWNTREND,,,No active BUY transition
ALHC,UNCHANGED,UNCHANGED,,,,Health Care,Healthcare Plans,DOWNTREND,,,No active BUY transition
ALK,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 14, 2026",Industrials,Airlines,DOWNTREND,MOVING DOWN,,No active BUY transition
ALKS,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 13, 2026",Health Care,Drug Manufacturers - Specialty & Generic,NEUTRAL,MOVING DOWN,,No active BUY transition
ALKT,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 12, 2026",Information Technology,Software - Application,UPTREND,MOVING UP,,No active BUY transition
ALL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 12, 2026",Financials,Insurance - Property & Casualty,NEUTRAL,MOVING DOWN,,No active BUY transition
ALLE,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 17, 2026",Industrials,Security & Protection Services,UPTREND,MOVING DOWN,,No active BUY transition
ALLY,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 07, 2026",Financials,Credit Services,DOWNTREND,MOVING DOWN,,No active BUY transition
ALNY,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 15, 2026",Health Care,Biotechnology,DOWNTREND,MOVING UP,,No active BUY transition
AM,LEADER,🚀 LEADER,BUY,BUY,"Aug 19, 2026",Energy,Oil & Gas Midstream,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMAT,UNCHANGED,UNCHANGED,SELL,SELL,"Jun 29, 2026",Information Technology,Semiconductor Equipment & Materials,DOWNTREND,MOVING DOWN,,No active BUY transition
AMBA,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 19, 2026",Information Technology,Semiconductor Equipment & Materials,DOWNTREND,MOVING DOWN,,No active BUY transition
AMCR,EMERGING,🔥 EMERGING,BUY,SELL,"Aug 25, 2026",Consumer Discretionary,Packaging & Containers,UPTREND,MOVING UP,,New BUY with rising trend and accelerating momentum
